Anlageklasse,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,Diff_1-5,Diff_2-3W
Rheinmetall,2025-11-02,55,25,20,Stark durch Rüstungsnachfrage.,60,20,20,Mittelfristig sehr positiv.,35,40
Infineon,2025-11-02,50,30,20,Chipnachfrage stützt klar.,55,25,20,Bullish dank Technologietrends.,30,35
SAP,2025-11-02,50,30,20,Technologiewert mit stabilem Wachstum.,55,25,20,Cloudgeschäft weiter stark.,30,35
MTU Aero Engines,2025-11-02,48,32,20,Luftfahrtsektor robust.,54,26,20,Langfristig wachstumsstark.,28,34
Siemens,2025-11-02,46,34,20,"Breit diversifiziert, stabile Gewinne.",52,28,20,Langfristig solide Wachstumsstory.,26,32
Airbus,2025-11-02,45,35,20,"Hohe Auftragslage, stabile Nachfrage.",50,30,20,Mittelfristig weiter stark dank Luftfahrtsektor.,25,30
Deutsche Telekom,2025-11-02,45,35,20,Solider defensiver Wert.,50,30,20,Mittelfristig stabil durch Dividenden.,25,30
Merck,2025-11-02,45,35,20,Stabiler Pharmasektor.,50,30,20,Defensiv und wachstumsorientiert.,25,30
Siemens Healthineers,2025-11-02,44,36,20,Gesundheitssektor stabil.,50,30,20,Langfristig positiv.,24,30
Münchener Rück,2025-11-02,44,36,20,"Defensiv, hohe Dividende.",50,30,20,Solide Nachfrage nach Rückversicherung.,24,30
Mercedes-Benz,2025-11-02,42,38,20,"Starke Margen, gute Absatzlage.",48,32,20,Solider Ausblick bei Premiumsegment.,22,28
RWE,2025-11-02,42,38,20,Energiewende bleibt Treiber.,48,32,20,Leicht bullish durch Investitionen.,22,28
Symrise,2025-11-02,42,38,20,Stabile Nachfrage im Konsumsektor.,48,32,20,Defensiver Wachstumswert.,22,28
Deutsche Börse,2025-11-02,42,38,20,Defensiver Wert mit stabilem Wachstum.,48,32,20,Profiteur von Marktvolatilität.,22,28
BMW,2025-11-02,42,38,20,"Stabile Nachfrage, gute Margen.",48,32,20,Leicht positiv bei starkem Absatz.,22,28
Beiersdorf,2025-11-02,40,40,20,"Solide Konsumwerte, stabile Nachfrage.",46,34,20,Defensiver Wert bleibt gefragt.,20,26
Zalando,2025-11-02,40,40,20,"Volatil, aber stabiler Umsatz.",46,34,20,Positiv bei steigender Konsumnachfrage.,20,26
Porsche,2025-11-02,40,40,20,Konsolidierung auf hohem Niveau.,46,34,20,Positiv bei Luxussegmentstärke.,20,26
Scout24,2025-11-02,40,40,20,Digitale Plattform stabil.,46,34,20,Positiv bei starkem Immobilienmarkt.,20,26
Hannover Rück,2025-11-02,40,40,20,"Solide Rückversicherung, stabile Gewinne.",46,34,20,"Stetige Nachfrage, defensiver Wert.",20,26
Adidas,2025-11-02,40,40,20,"Stabil, Nachfrage robust.",45,35,20,Leichte Erholung bei stabilem Konsum.,20,25
Daimler Truck,2025-11-02,40,40,20,"Solide Nachfrage, stabile Produktion.",46,34,20,Langfristig robust dank Infrastrukturprojekten.,20,26
E.ON,2025-11-02,40,40,20,Energiepreise stabil.,46,34,20,"Defensiv, aber stetig wachsend.",20,26
Deutsche Bank,2025-11-02,39,41,20,Zinsvorteil bleibt Stütze.,45,35,20,Positiv bei Kostendisziplin.,19,25
Volkswagen,2025-11-02,38,42,20,"Preisdruck, aber stabile Verkäufe.",44,36,20,Leichte Erholung möglich.,18,24
Siemens Energy,2025-11-02,38,42,20,"Schwankend, aber stabilisierend.",45,35,20,Verbesserte Margen möglich.,18,25
Deutsche Post,2025-11-02,38,42,20,Konsolidierung nach starkem Jahr.,44,36,20,"Stabiler Cashflow, leicht positiv.",18,24
Allianz,2025-11-02,38,42,20,Seitwärts mit leicht positivem Ausblick.,44,36,20,"Solide Gewinne, stabile Dividende.",18,24
Qiagen,2025-11-02,38,42,20,Biotech-Sektor ruhig.,44,36,20,"Defensiv, langfristig stabil.",18,24
GEA,2025-11-02,38,42,20,Industriewert mit stabilem Wachstum.,45,35,20,Leicht positiv bei stabiler Nachfrage.,18,25
Commerzbank,2025-11-02,38,42,20,Zinsumfeld stützt Erträge.,45,35,20,Positiv bei stabilem Zinsniveau.,18,25
Continental,2025-11-02,37,43,20,Automobilsektor schwankt.,44,36,20,Erholungspotenzial bei stabiler Nachfrage.,17,24
Heidelberg Materials,2025-11-02,37,43,20,Baumarkt stabilisiert sich.,44,36,20,Profiteur von Infrastrukturinvestitionen.,17,24
Henkel,2025-11-02,36,44,20,"Stabil, aber Konkurrenzdruck.",43,37,20,Leichte Erholung möglich.,16,23
Brenntag,2025-11-02,36,44,20,"Stabile Entwicklung, Rohstoffpreise relevant.",43,37,20,Moderater Aufwärtstrend.,16,23
BASF,2025-11-02,35,45,20,Energiepreise beeinflussen Margen.,42,38,20,Leicht positiv bei sinkenden Kosten.,15,22
Vonovia,2025-11-02,35,45,20,Zinsumfeld belastet Immobilien.,42,38,20,Leichte Entspannung bei sinkenden Zinsen.,15,22
Fresenius,2025-11-02,35,45,20,Leichte Erholung möglich.,42,38,20,Restrukturierung trägt Früchte.,15,22
Fresenius Medical Care,2025-11-02,32,48,20,Unsicheres Umfeld.,40,40,20,Verbesserte Effizienz könnte stützen.,12,20
Bayer,2025-11-02,30,45,25,Belastet durch Rechtsrisiken.,40,35,25,Stabilisierung möglich bei Fortschritten im Umbau.,5,15
